Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Euro area,95.18930054,95.20214844,95.31549835,95.30209351,95.86665344,96.12468719,96.42543793,96.47322845,96.82183075,97.02626038,97.00515747,96.98787689,96.65582275,95.99765015,95.80922699,95.84913635,96.60679626,96.78434753,96.89177704,97.04213715,96.85970306,96.84925842,96.32826233,96.47509003,96.29949951,96.76059723,97.52060699,97.62574005,98.9571228,99.12256622,99.17447662,99.12558746,98.89417267,98.75518036,98.55619812,98.52944183,98.59602356,98.84934235,98.91497803,98.88329315,98.89562225,98.76316833,98.79340363,98.72310638,98.41220093,98.50508881,98.46381378,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,21.21139908,,24.26730919,25.43697929,27.15098953,27.59551048,,33.38832855,38.96067047,41.34244156,46.95352936,52.085289,55.03094864,56.72492981,56.0118103,50.92214966,47.34843063,43.84363174,41.44493103,43.96406174,46.24827957,44.17755127,44.27325058,42.63528824,,
Spain,,92.89792633,94.26795959,95.23184204,,99.46665192,99.90673828,99.08840179,98.49434662,98.59340668,99.15735626,99.18084717,,99.58605194,99.75650024,99.79081726,99.80075836,99.20646667,98.37837982,98.98301697,98.95818329,99.66216278,99.34951782,99.98680115,99.98290253,99.95607758,99.94393158,99.93536377,,99.85681915,99.81311798,99.76262665,99.81835938,99.85694885,99.74835205,99.61974335,99.77577972,99.88076019,99.85649872,99.7177887,99.61392975,99.67424011,99.6681366,99.11936951,98.52245331,98.93296814,98.53000641,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,87.03452301,90.60951996,,99.22158051,99.14128876,98.95668793,98.89034271,98.85256195,97.23729706,96.28864288,96.11141968,95.6863327,96.77204895,96.27796173,96.09571075,99.1011734,99.64202118,99.60183716,98.29654694,94.1896286,93.56630707,,
Ethiopia,,,,,,,,,,,,,,,,,,29.34952927,29.90526009,28.63451004,,,,,19.10539055,21.84534073,26.06624031,,33.50045013,35.99227905,40.06842041,44.33089066,46.56483078,47.35250854,50.22879028,61.15719986,65.8365097,71.00504303,76.63464355,76.20023346,74.2882309,78.25006104,79.4901123,,86.31694794,86.01902771,,
European Union,95.81694794,95.82041168,95.89968872,95.7086792,95.95771027,96.0236969,96.1288681,96.06175995,96.12391663,96.09288788,96.09512329,95.83454895,95.75840759,95.31242371,95.20143127,94.99456787,95.45794678,95.71974182,95.77261353,95.60973358,95.35028839,95.0877533,94.73842621,95.24951935,95.73760986,96.13143158,96.67070007,97.17752838,98.60855865,98.5437088,98.56555176,98.56237793,98.35540771,98.27153015,97.96328735,97.92346954,97.88484955,97.89044952,98.21322632,98.14060211,98.23375702,98.12796021,98.18798065,98.28180695,98.04576111,98.09300232,98.06434631,
Finland,,,81.14138031,,,,,,,97.03222656,,,,,,,,,,,,,,98.75370789,98.63791656,98.31477356,98.36753082,98.71485138,99.48252869,99.83825684,99.73542786,99.75644684,99.39526367,98.67926788,97.74491882,97.34561157,96.8110733,97.41310883,97.85431671,98.01625061,98.31079102,98.57444763,99.1133728,99.11927032,99.43051147,99.19242859,99.12348938,
Fiji,,,,,,,,,,,,,,,,,,,,,,,96.65084076,,97.00293732,95.49458313,93.146492,93.57111359,94.54698181,94.24913025,94.86164856,97.93682098,99.21517944,99.30016327,99.15460968,,99.12621307,99.61569214,99.3275528,99.37647247,,99.0398407,98.68740082,97.12084961,,98.02938843,,
France,,97.14517975,97.25758362,97.48235321,97.92701721,,97.52626038,97.76273346,,99.87914276,99.75208282,100,98.58943176,96.26069641,,95.50009918,98.24221802,99.87468719,99.80967712,,99.9613266,99.95407867,99.61551666,98.09249115,97.88314056,98.81183624,99.73184967,99.58091736,,99.69911194,99.64407349,99.63503265,99.57103729,99.4344635,99.11788177,99.25865936,99.16007233,99.2098999,99.16423035,99.25994873,99.27832031,99.00567627,98.86089325,99.19946289,99.22499847,99.28436279,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04878998,84.00917053,,
United Kingdom,,98.10803223,97.25166321,96.30168915,95.81069183,95.72158813,95.80593872,96.11947632,96.18984985,96.3551178,97.70909882,97.57996368,96.62368774,95.0379715,94.57132721,93.49929047,95.11607361,97.94033051,99.60997772,99.71222687,99.78903198,98.11962891,96.59140778,,,,,,99.90545654,99.9437027,99.94838715,99.93997955,99.74832916,99.90733337,99.31269836,99.99861908,99.55740356,97.72769928,98.90364075,98.17163849,98.37748718,98.37666321,98.62904358,99.8914032,99.90799713,99.94197083,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,82.53185272,82.41838074,83.7223587,,,,,,,86.81861877,85.78456879,87.81581879,93.89144897,95.60607147,95.00441742,,96.25990295,98.03101349,99.66120911,99.74674225,99.61904907,99.62592316,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.14608002,65.74942017,60.32012939,62.81093979,61.44947815,,65.26891327,64.21188354,69.81458282,74.94138336,73.73345947,,81.97480774,80.93372345,85.84844971,88.39096069,90.11357117,86.70102692,85.14466858
Guinea,,,,,,,,,,,,,,,27.93623924,30.94885063,28.57274055,26.3597908,27.28458977,27.02728081,26.02654076,27.79121017,,,,,,,39.36896133,41.83422089,44.94221878,48.39228058,55.71432877,59.19466019,62.24673843,64.29039001,66.56587982,68.63387299,67.75463867,69.22605896,71.66754913,75.83512878,75.43592834,76.56994629,80.29949188,,,
"Gambia, The",,24.06587982,23.30105972,24.27905083,24.49353981,25.43634987,26.73010063,31.02430916,33.94898987,37.51163864,42.0240097,50.66743851,54.26599884,57.48709106,59.09149933,61.67068863,61.07144928,,,,47.7933197,,45.99795914,49.30826187,,,59.40658951,,63.39445114,74.92394257,72.54315948,73.44216919,71.33876038,74.99269867,75.1043396,72.23721313,76.59246826,76.31752014,71.93470764,,69.98712921,69.85643005,72.25653076,68.27198792,71.03527832,74.02626801,76.11047363,78.62818909
Guinea-Bissau,,,,,,,,,,,,43.58200073,52.25159836,,49.1464386,48.59000015,,39.83649063,38.39477921,,,,,,,,,,,,47.6720314,,,,,,,,,,71.92648315,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,63.30942154,,,,,,64.84259796,71.54406738,69.21466827,67.11782837,,,,,46.75576019,45.5509491,44.7818985,45.81602097,47.15309906,,,44.20394135,,
Greece,,91.92340088,92.37954712,93.50301361,95.10630035,95.46855927,95.66242218,95.09642792,94.37647247,93.39009857,91.73181915,93.22814941,93.44519043,94.29174805,94.23016357,94.1140976,93.21212006,90.98300171,91.76216125,91.25962067,90.99487305,90.73129272,88.98564148,87.14971924,86.47749329,87.60399628,86.77989197,87.34529114,94.06336212,94.60048676,95.82366943,94.64761353,94.86077881,94.90856171,94.59493256,93.51100922,92.94593048,92.81967163,,,93.90960693,94.2040329,94.50994873,93.93283844,92.66657257,93.57662201,,
Grenada,,,83.77375793,,,,,97.63652802,98.79682159,98.5160675,95.88134766,91.16506958,88.05738068,88.08299255,90.53988647,,,,,,,,,,,,,,,99.99143219,,,96.28533173,,98.52031708,90.67813873,,93.42446899,95.78365326,97.47405243,,,,98.41191101,97.33216095,97.77185059,96.84210968,
Guatemala,45.95251083,47.1206398,47.84030151,,49.11798859,50.10290909,,,52.31700134,52.81906128,54.64923859,57.53731918,54.64902878,58.17684174,,,,,,,,,,,,,,71.03312683,,80.79315948,83.54524231,82.77561951,86.05956268,,90.71363831,92.28014374,93.9134903,95.05161285,95.04348755,97.99572754,97.41047668,95.14943695,92.22930145,89.94135284,88.09568024,87.80667114,87.20165253,
Guyana,,86.85752106,88.05771637,,90.5328598,,86.89337921,91.75514984,,88.68042755,,,88.87671661,,,,,,,,,91.87290955,89.67009735,88.12433624,,89.96544647,88.43708038,,,,,,,89.41589355,,,,,97.32260895,92.29949188,95.89251709,97.72360992,95.62432098,,,,,
"Hong Kong SAR, China",,87.90283966,89.06851196,89.04511261,90.54965973,92.16957855,93.23226166,94.3947525,93.86940002,94.14826965,98.19130707,97.88105774,97.15483093,96.8143692,96.16809845,95.02603149,,,,,,,,,,92.86287689,92.80037689,,,,,,,,,,,,,,,,99.31478119,99.11448669,98.8786087,98.70774841,98.14644623,
Honduras,,,,,,,,,71.81906891,75.19116974,75.63188934,,85.80621338,87.3181076,88.30706024,,88.14037323,,,,,86.25241089,,87.56192017,,,,,,,85.54644012,,,88.71469879,90.26541901,86.21833038,91.50502014,85.89472961,89.57926941,88.40516663,88.49372864,89.23384857,85.83287811,82.85900116,82.69168091,81.33746338,83.06458282,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99954224,92.57826996,93.90670776,96.16542816,98.27558136,99.73690033,,98.89675903,98.8589325,98.78591156,97.20716095,91.50279236,94.75894928,96.97216034,98.51081085,98.25646973,98.33532715,98.34580994,97.64824677,
Haiti,,,,,,,,,,,35.89828873,36.95679092,42.44787979,46.7997818,43.57963181,48.7914505,51.10358047,42.43534851,,,,,,,,,,57.33734894,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,91.53607941,90.49693298,78.41574097,86.99358368,95.96230316,96.10214233,96.56954193,96.9363327,97.04341125,95.92072296,95.55890656,96.34767151,96.95996857,96.14853668,97.01069641,97.49913025,97.26769257,96.62204742,96.12271118,95.9626236,96.18071747,96.35485077,96.86148071,
Indonesia,,70.0650177,71.20590973,,70.92073822,73.35959625,76.27583313,78.67176819,85.45485687,,,90.134758,96.03302765,97.42359161,97.71103668,97.82836151,97.22151184,98.09861755,97.77249146,97.92666626,96.28034973,95.37333679,94.51795197,93.31394958,93.84172821,93.6578064,92.55697632,92.50361633,,,,96.16513062,95.42582703,94.88829041,94.11650848,93.14997101,94.47914124,96.90077972,96.32465363,97.40709686,98.05184174,97.55473328,95.99469757,93.10175323,92.00222015,,91.71122742,
India,,61.35797119,,,,,,,,,,,,,,,,,,,77.50028992,,,,,,,,,,84.16702271,84.09338379,83.89911652,88.73095703,,,,96.98043823,97.00128174,95.65904236,96.20659637,95.76998901,96.99771118,97.73002625,,,,
Ireland,,94.74488831,93.49562073,93.68270874,93.02390289,93.68734741,94.93891907,95.85932159,96.09635925,95.05827332,93.1155777,90.39955902,87.8060379,85.94023895,,,84.72162628,85.53491211,86.63237,87.28462219,87.81826782,87.40557098,86.65048981,86.39910126,86.51320648,86.79376221,87.53128052,,99.39093781,99.81025696,99.75035858,99.72013092,99.76348114,99.89408112,99.81080627,99.88394928,99.88716888,99.9418869,99.77171326,99.61659241,99.60140991,99.09635162,99.46925354,99.38871765,99.23552704,99.677948,,
"Iran, Islamic Rep.",,59.34246063,,,,,,,,,,,,,83.14727783,83.28948975,84.24297333,84.67960358,85.66719818,86.24268341,92.51422882,,96.29750824,,,,,93.17469788,,85.53891754,84.87374878,,93.40144348,92.80413818,95.83660889,95.6227417,98.79120636,98.98021698,,99.57875824,99.68354034,99.83042908,99.6491394,98.63529205,99.54842377,99.41443634,,
Iraq,,57.12094879,59.6735611,62.27991867,64.72374725,64.52010345,72.53121948,73.82865906,75.45046234,89.96188354,93.50907898,92.72885132,,88.39759827,,87.42022705,88.10079193,89.84803772,90.8894577,89.72585297,,,,78.04315948,,,75.7048111,,,89.65531158,88.55310822,,,94.2593689,92.99398804,,,92.32209015,,,,,,,,,,
Iceland,,,,,,,,99.12989807,,,,,,,,,,,,,,,,,97.33664703,,97.9897995,98.47849274,99.51725006,98.8901062,98.91577148,99.25604248,99.28735352,98.28539276,96.62122345,96.82524872,97.32263184,98.14066315,99.22781372,99.68920898,99.27792358,98.78801727,98.25189209,98.11884308,98.21974182,98.63839722,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.60363007,97.85040283,98.3110733,97.98947906,98.07804108,97.65868378,97.54620361,97.068573,97.29746246,97.26902008,96.96839142,97.38258362,97.01557922,97.6644516,97.25965118,97.05924988,97.5566864,97.05258179,
