Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia,68.99304163,69.12962802,69.33378132,69.4290309,69.63274994,69.60738686,69.70820247,69.88068673,69.97009906,70.08909783,70.19342795,70.45849167,70.74955084,70.8190152,70.96939042,71.18194012,71.66695624,71.88385353,72.01148459,72.07416896,72.07716791,71.98638564,71.91629789,71.59852393,71.6666366,71.7656137,72.15198515,72.55888831,72.86646395,72.91646445,73.07080052,73.34656944,73.43379373,73.54511417,73.97824347,74.13989425,74.63433903,74.9905085,75.24749348,75.64076906,75.92923265,76.44175737,76.58840496,76.9014526,77.21758382,77.15663422,77.28144604,
Ecuador,57.783,58.216,58.678,59.167,59.682,60.222,60.781,61.353,61.93,62.511,63.095,63.686,64.286,64.896,65.511,66.126,66.735,67.332,67.91,68.464,68.99,69.487,69.956,70.4,70.82,71.217,71.594,71.953,72.297,72.624,72.933,73.22,73.482,73.72,73.937,74.136,74.322,74.501,74.678,74.859,75.046,75.244,75.449,75.661,75.879,76.102,76.327,
"Egypt, Arab Rep.",52.155,52.487,52.902,53.414,54.027,54.723,55.471,56.228,56.963,57.665,58.338,59.001,59.677,60.378,61.097,61.812,62.494,63.117,63.669,64.151,64.58,64.987,65.401,65.84,66.308,66.789,67.259,67.69,68.061,68.368,68.613,68.807,68.972,69.127,69.282,69.444,69.618,69.797,69.98,70.167,70.357,70.55,70.742,70.933,71.12,71.304,71.484,
Euro area,71.15831229,71.26627481,71.60580648,71.70103458,72.02685678,72.17027684,72.43577804,72.79108146,73.01220158,73.33538921,73.52962399,73.81234265,74.1552106,74.22972418,74.58787525,74.7575599,75.05692047,75.34808209,75.53569238,75.76152552,75.91145327,76.0250665,76.38008511,76.48673059,76.79501884,76.95568356,77.21821051,77.58135734,77.79693764,78.02099738,78.27489269,78.59711551,78.68446788,78.70718255,79.27870162,79.42628613,79.85613241,80.0998851,80.30291584,80.50518158,80.746781,81.23280317,81.22709794,81.51295289,81.93328885,81.55961007,81.5599298,
Eritrea,43.157,43.547,43.935,44.317,44.691,45.055,45.405,45.74,46.059,46.364,46.654,46.927,47.187,47.441,47.695,47.956,48.23,48.523,48.841,49.193,49.589,50.04,50.545,51.099,51.693,52.311,52.932,53.539,54.126,54.693,55.258,55.847,56.483,57.174,57.916,58.691,59.472,60.23,60.94,61.591,62.181,62.718,63.22,63.703,64.174,64.636,65.092,
Spain,72.02731707,71.6302439,72.81804878,72.61073171,72.9697561,73.31878049,73.64268293,74.13195122,74.29560976,74.81878049,75.34926829,75.52853659,76.13414634,75.90902439,76.29536585,76.2595122,76.5104878,76.72804878,76.74707317,76.81365854,76.83756098,76.97121951,77.41,77.54658537,77.90146341,77.98073171,78.1204878,78.60414634,78.66585366,78.71707317,78.96585366,79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,82.83170732,
Estonia,69.93709756,69.90534146,69.83282927,69.72458537,69.59021951,69.44131707,69.29002439,69.14695122,69.02626829,68.93858537,68.90563415,68.97804878,69.12682927,69.37560976,69.27804878,69.3804878,70.08536585,70.64390244,70.69756098,70.03902439,69.47560976,69.37317073,68.86341463,67.9097561,66.5,67.54390244,69.61219512,69.8097561,69.35853659,70.06341463,70.41707317,70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.73658537,
Ethiopia,42.944,43.213,43.465,43.693,43.894,44.045,44.116,44.103,44.016,43.88,43.746,43.674,43.711,43.884,44.198,44.633,45.146,45.682,46.194,46.668,47.1,47.505,47.912,48.346,48.812,49.305,49.811,50.322,50.836,51.366,51.94,52.593,53.347,54.209,55.172,56.221,57.333,58.466,59.58,60.643,61.625,62.501,63.275,63.952,64.535,65.037,65.475,
European Union,70.99881051,71.10698157,71.41513975,71.53542708,71.82618625,71.92206396,72.12663139,72.4103576,72.52533025,72.76937038,72.864107,73.20329272,73.4647949,73.52794453,73.80302828,73.87727926,74.14530008,74.38843764,74.57814067,74.74401188,74.86880904,74.96895327,75.28801452,75.39470261,75.690696,75.81533121,76.06737661,76.36099023,76.59585241,76.82530951,77.15868523,77.49320173,77.6059246,77.69353391,78.19304573,78.36490114,78.73904259,78.96830053,79.18314331,79.44231191,79.72484897,80.23987465,80.25122211,80.53270225,80.92124105,80.61411878,80.62039806,
Finland,70.1795122,70.01756098,70.70731707,71.22365854,71.13487805,71.67365854,71.81292683,72.3502439,72.89707317,73.15536585,73.44,73.74658537,74.29804878,74.20097561,74.51902439,74.22292683,74.56,74.59195122,74.57707317,74.79219512,74.81317073,75.22756098,75.45536585,75.70512195,76.39560976,76.4095122,76.69341463,76.87853659,77.09073171,77.29121951,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.7804878,
