Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kiribati,54.384,54.858,55.287,55.659,55.973,56.224,56.416,56.564,56.688,56.802,56.927,57.077,57.262,57.49,57.768,58.101,58.492,58.927,59.394,59.88,60.371,60.854,61.318,61.755,62.158,62.526,62.862,63.174,63.469,63.745,64.001,64.231,64.43,64.599,64.74,64.859,64.961,65.054,65.146,65.244,65.354,65.481,65.623,65.78,65.949,66.13,66.317
"Korea, Rep.",62.16341463,62.61219512,63.0097561,63.40731707,63.80487805,64.15365854,64.50243902,64.9,65.19756098,65.54634146,66.04634146,66.54634146,67.09512195,67.54634146,68.19512195,68.79512195,69.44634146,69.99756098,70.54878049,71.04878049,71.59756098,72.04634146,72.49756098,72.99756098,73.39756098,73.7,74.15121951,74.60243902,75.00487805,75.4097561,75.9097561,76.41219512,76.76585366,77.21463415,77.66585366,78.16829268,78.66829268,79.1195122,79.51707317,79.96829268,80.11707317,80.56829268,80.8195122,81.27073171,81.72195122,82.02439024,82.02439024
Kuwait,66.027,66.453,66.857,67.241,67.607,67.958,68.298,68.628,68.949,69.263,69.573,69.878,70.178,70.47,70.752,71.021,71.273,71.505,71.717,71.908,72.079,72.232,72.369,72.496,72.613,72.722,72.824,72.917,73.004,73.084,73.16,73.232,73.3,73.367,73.434,73.505,73.584,73.67,73.764,73.868,73.979,74.096,74.217,74.338,74.458,74.577,74.694
Lesotho,49.037,49.309,49.634,50.006,50.426,50.896,51.418,51.985,52.582,53.196,53.807,54.396,54.949,55.462,55.931,56.395,56.905,57.48,58.098,58.708,59.206,59.464,59.394,58.944,58.112,56.902,55.351,53.584,51.75,49.971,48.405,47.195,46.394,46.021,46.078,46.521,47.266,48.171,49.112,50.014,50.826,51.53,52.158,52.738,53.268,53.745,54.174
Luxembourg,69.98346341,70.08143902,70.20531707,70.35817073,70.54256098,70.75760976,70.9985122,71.25629268,71.52246341,71.79446341,72.07260976,72.35768293,72.65346341,72.95887805,73.27192683,73.5857561,73.89460976,74.1937561,74.48034146,74.75241463,75.01041463,75.46341463,75.77073171,75.71219512,76.37073171,76.51219512,76.5195122,76.8804878,77.01707317,77.77073171,77.87317073,77.82439024,77.96585366,77.72682927,79.12195122,79.43170732,79.28780488,79.38292683,80.53902439,80.63658537,80.63170732,80.98780488,81.39268293,81.8,82.22926829,82.29268293,82.29268293
"Macao SAR, China",69.36,69.869,70.384,70.897,71.4,71.887,72.352,72.793,73.209,73.602,73.974,74.33,74.677,75.02,75.362,75.702,76.036,76.363,76.68,76.99,77.296,77.607,77.926,78.253,78.588,78.925,79.256,79.573,79.872,80.15,80.407,80.645,80.87,81.089,81.304,81.523,81.748,81.981,82.22,82.462,82.704,82.937,83.155,83.355,83.536,83.7,83.849
Morocco,52.572,52.94,53.305,53.676,54.066,54.492,54.976,55.525,56.141,56.823,57.56,58.339,59.139,59.937,60.717,61.469,62.189,62.878,63.536,64.158,64.733,65.253,65.716,66.129,66.502,66.848,67.184,67.526,67.889,68.284,68.722,69.209,69.738,70.296,70.873,71.456,72.029,72.58,73.097,73.572,73.999,74.377,74.717,75.026,75.309,75.573,75.821
Mexico,61.369,61.837,62.334,62.852,63.385,63.928,64.474,65.016,65.548,66.064,66.562,67.04,67.501,67.949,68.385,68.81,69.226,69.635,70.039,70.438,70.836,71.235,71.633,72.029,72.418,72.796,73.158,73.498,73.814,74.103,74.364,74.598,74.809,75.002,75.18,75.347,75.505,75.656,75.802,75.948,76.096,76.251,76.412,76.579,76.753,76.933,77.118
Malta,71.33,71.58463415,71.83626829,72.08487805,72.3304878,72.57358537,72.81468293,73.0527561,73.28882927,73.52239024,73.75343902,73.9814878,74.20753659,74.43056098,74.65109756,74.86912195,75.08563415,75.30014634,75.51317073,75.72517073,75.93568293,76.14468293,76.35165854,76.55614634,76.75812195,77.14146341,77.14146341,77.5902439,77.38780488,77.3,78.2,78.84390244,78.73902439,78.54634146,79.25365854,79.3,79.43902439,79.79268293,79.63658537,80.24146341,81.39756098,80.74634146,80.74634146,81.74634146,81.94634146,81.79756098,81.79756098
Mongolia,55.364,55.819,56.192,56.477,56.676,56.796,56.848,56.86,56.861,56.875,56.936,57.074,57.295,57.595,57.968,58.392,58.836,59.266,59.655,59.992,60.268,60.486,60.67,60.841,61.015,61.211,61.447,61.73,62.063,62.446,62.869,63.319,63.777,64.23,64.671,65.104,65.539,65.987,66.449,66.92,67.383,67.82,68.215,68.558,68.847,69.087,69.287
